ID,Author,Year,Title,Type,Task,Variable,"Inclusion (1: Yes, 2: No)",Sample,"Total N 
(Mean Age)",MeanAge,Intervention,Results,nT,nC,Num_Session,Treat_Duration_Hour,Home_Duration_Hour,Mean_Post_T,SD_Post_T,Mean_Post_C,SD_Post_C,Task_Value,nC2,Mean_Post_C,SD_Post_C,C2_Summary
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,EF - conflict monitoring,Attentional Network Test-Executive,reaction time- negative words,2,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,94.1,45.2,95.8,33.2,-1,25,76.7,27.7,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,AT - selective,Attentional network test- Orienting,reaction time- negative words,2,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,24.3,22.4,21.1,27.7,-1,25,30.1,32.1,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,AT - sustained,Attentional network test- Alerting,reaction time- negative words,2,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,54.1,35.6,52.1,27.7,-1,25,46.8,39.2,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,EF - conflict monitoring,Attentional Network Test-Executive,reaction time- neutral words,1,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,83.9,27.6,92,44.5,-1,25,66.4,30.4,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,AT - selective,Attentional network test- Orienting,reaction time- neutral words,1,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,26.7,22,32.3,31.6,-1,25,31.9,24.4,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,AT - sustained,Attentional network test- Alerting,reaction time- neutral words,1,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,50.7,32.1,54.7,29.4,-1,25,50,36,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,EF - conflict monitoring,Attentional Network Test-Executive,reaction time- non-words,2,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,91.3,28.9,103.5,39.4,-1,25,70.9,24.8,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,AT - selective,Attentional network test- Orienting,reaction time- non-words,2,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,28.1,20.6,29.2,32.7,-1,25,19.8,26.2,open monitoring
1,Ainsworth,2013,The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers,AT - sustained,Attentional network test- Alerting,reaction time- non-words,2,college students,51(NR),,3 group training sessions for 8 days + 10 minute meditation each day,meditation > CG,24,27,24,24,1.3,53.2,33.1,50.9,32.8,-1,25,49.4,40.5,open monitoring
2,Alberts,2011,The effect of a brief mindfulness intervention on memory for positively and negatively valenced stimuli,LM,Delayed recall test,Accuracy - number of words,1,college students,40(21.6),21.6,12 minutes focusing on breathing,ns,20,20,1,0.2,0,12.17,2.15,12.15,2.23,1,,,,
